x,y
81,83
266,197
195,176
243,212
89,273
190,154
85,209
191,165
167,172
86,279
189,144
58,223
64,227
79,216
110,298
191,129
189,154
269,204
49,104
247,211
88,267
196,178
152,105
87,72
233,211
201,242
54,225
197,179
207,276
67,224
167,152
266,189
48,102
213,208
272,201
311,125
196,175
210,269
196,280
224,33
267,196
193,165
88,277
65,207
59,219
65,256
136,87
71,221
73,266
232,177
191,149
78,273
68,200
267,189
212,264
75,196
75,268
192,128
191,156
58,224
146,96
70,222
202,287
64,232
73,265
88,274
268,205
78,216
87,208
87,279
192,177
268,207
57,219
203,288
64,231
74,266
235,212
63,248
191,147
191,140
93,90
89,272
191,141
82,85
232,211
255,193
208,277
78,265
56,220
219,247
76,259
266,187
66,257
223,193
124,144
89,271
215,258
176,148
86,268
253,211
195,280
202,264
221,245
66,237
56,226
198,179
268,181
270,203
79,215
190,144
69,222
62,75
56,222
68,224
66,225
91,92
95,149
76,194
174,171
252,211
197,274
83,211
189,150
86,278
110,107
112,175
80,88
191,150
85,93
195,277
209,270
76,258
261,172
100,92
63,232
231,196
271,203
257,155
194,180
160,140
196,179
264,209
76,254
70,223
57,221
255,197
184,173
83,266
166,141
269,205
89,267
63,231
221,244
78,272
190,169
244,212
266,184
197,277
61,217
268,183
88,276
121,159
80,84
215,220
108,295
72,221
265,190
192,291
191,143
128,173
244,211
169,154
89,266
111,117
219,250
199,95
192,127
144,128
244,200
192,150
195,175
159,141
261,211
85,279
138,53
87,278
206,112
190,163
213,219
81,276
194,172
92,144
86,280
88,275
60,223
218,250
98,138
196,278
191,170
177,149
193,166
264,205
138,81
52,76
191,169
45,113
269,187
192,158
191,116
232,196
220,247
63,220
190,158
135,142
206,278
189,175
138,174
263,175
80,214
234,210
266,188
225,235
191,145
173,170
77,218
267,183
74,219
210,270
112,166
195,285
107,92
182,172
193,179
189,143
266,186
217,200
77,217
193,178
195,181
66,240
67,257
205,260
197,276
207,275
267,206
199,273
261,186
267,207
248,212
260,207
85,266
78,263
66,239
217,225
263,192
250,195
242,211
62,249
68,199
245,211
65,236
194,286
68,223
193,162
75,218
100,294
50,74
66,226
173,169
157,154
178,177
88,273
87,69
99,37
89,275
273,201
66,258
89,269
90,276
270,205
195,282
191,153
66,224
82,154
262,188
129,150
300,158
87,277
79,87
91,157
107,120
252,210
89,265
251,214
89,272
81,262
105,102
67,242
195,173
185,143
215,219
138,200
242,199
91,134
209,272
135,91
89,270
127,85
208,251
216,256
192,121
111,175
79,84
52,78
194,171
156,152
93,143
67,215
194,283
82,266
82,134
90,275
64,222
226,191
160,118
115,295
189,145
126,165
181,171
189,146
180,172
195,278
190,156
207,274
77,259
78,260
99,128
220,244
226,236
268,206
88,272
84,210
204,260
88,268
194,280
192,290
130,49
199,269
96,127
109,91
192,77
192,160
101,29
191,133
193,168
266,207
85,132
99,137
81,213
61,225
92,271
204,258
83,269
193,124
191,139
72,220
155,167
79,86
65,226
194,167
47,87
216,202
64,228
180,171
70,221
64,223
192,173
191,171
108,105
191,126
193,112
84,267
212,262
192,161
87,276
55,225
89,273
65,235
123,142
198,287
76,257
225,238
77,263
192,124
88,276
77,268
74,261
79,262
67,219
80,112
260,212
67,221
158,139
73,219
175,146
191,115
75,266
194,179
213,263
242,147
191,166
126,169
254,150
65,257
67,223
131,156
85,280
64,234
65,68
204,289
55,230
43,73
176,194
247,162
188,175
252,209
75,269
246,212
93,160
111,174
202,288
114,107
184,172
109,155
114,29
244,209
250,166
90,67
204,286
206,279
191,175
193,116
207,251
245,198
75,256
84,208
189,135
65,225
224,234
43,65
91,132
183,173
118,34
96,103
72,202
110,111
196,275
264,200
192,146
252,213
273,200
82,279
79,264
263,191
87,179
188,174
140,91
79,265
84,279
192,122
192,172
229,185
194,180
89,179
169,172
260,174
155,152
89,268
91,275
98,294
244,197
60,218
62,215
214,258
192,179
100,200
266,181
196,177
190,176
69,200
134,149
74,268
226,207
271,202
77,265
72,248
193,174
264,155
115,32
207,279
167,151
83,210
49,124
125,46
207,241
76,264
178,178
54,224
185,201
190,124
89,271
76,256
88,271
100,27
106,39
249,210
263,177
265,157
106,118
262,190
161,144
75,270
132,99
207,118
102,38
215,259
0,46
121,28
66,214
65,224
111,298
88,178
80,85
86,270
157,126
261,192
104,124
68,243
198,273
1,45
253,214
262,191
174,129
206,284
81,135
172,169
67,208
82,135
207,250
270,204
189,141
163,158
260,197
115,158
98,137
225,234
192,163
193,164
194,174
46,67
265,207
190,177
92,93
191,167
169,171
191,154
191,144
76,218
88,266
76,270
133,155
99,28
108,45
250,149
0,45
185,174
262,209
0,47
63,209
192,152
169,155
251,197
212,265
211,267
90,192
139,201
239,162
94,194
191,146
86,279
174,196
141,105
265,189
178,168
89,61
165,155
194,281
93,61
191,151
75,257
69,256
194,278
79,215
195,166
169,147
77,216
262,194
91,66
97,95
299,158
81,214
116,206
1,46
93,63
110,174
80,190
176,169
191,137
208,116
84,280
94,155
77,270
264,190
201,266
207,275
67,224
191,127
86,277
96,144
191,130
84,268
270,201
64,230
179,172
83,280
262,184
80,263
80,144
221,194
101,130
224,192
88,275
89,272
80,152
225,199
112,196
91,158
264,191
42,65
273,203
266,198
76,267
126,171
189,155
58,218
231,182
95,195
250,210
189,131
112,197
94,151
101,37
62,224
189,133
80,274
64,213
46,92
1,47
86,209
54,232
202,263
245,213
192,171
193,114
208,271
262,197
80,215
227,203
224,233
260,174
190,122
77,153
209,119
88,277
205,111
77,140
162,161
95,125
189,152
214,260
204,259
78,262
92,91
126,44
261,191
63,215
80,270
69,222
205,256
75,255
195,177
193,118
66,225
97,294
164,172
198,271
88,64
79,120
0,45
89,277
85,209
197,180
263,182
191,112
260,192
107,100
89,269
121,201
190,160
202,97
266,185
262,173
107,294
232,178
192,157
269,160
0,44
93,158
80,276
76,253
88,139
64,227
299,136
62,219
173,150
198,272
62,245
215,260
54,229
262,206
194,282
79,85
200,273
116,298
65,248
140,72
78,138
71,147
216,254
195,174
130,119
189,150
63,230
189,139
78,86
191,128
206,277
76,259
207,277
110,173
109,113
206,278
230,196
79,125
62,248
122,264
152,103
42,67
132,100
192,120
140,96
275,164
102,51
209,250
191,138
81,264
54,226
89,274
126,99
47,68
98,199
117,44
63,249
195,176
204,100
267,186
129,201
270,203
77,264
190,159
90,268
266,158
197,104
112,146
89,270
43,74
250,215
212,306
134,95
207,247
272,202
245,197
72,252
213,261
137,157
67,220
68,222
215,257
66,259
263,186
68,62
265,208
193,179
108,104
230,184
191,177
206,255
84,80
71,146
90,190
64,226
80,269
211,265
208,272
249,211
176,171
193,175
77,201
259,207
136,174
64,69
203,100
65,250
84,209
177,157
71,214
98,139
257,192
139,53
136,97
198,104
77,263
68,219
203,260
193,111
171,149
192,178
246,196
207,276
64,252
87,277
128,98
78,131
76,258
189,129
253,209
193,170
199,271
84,265
91,159
88,274
81,271
213,207
192,118
70,153
251,211
0,46
65,212
200,121
210,120
85,211
0,48
103,121
45,117
199,104
212,305
46,66
2,47
95,88
235,197
196,178
189,148
216,255
80,277
255,191
88,278
88,265
191,168
75,178
74,260
140,57
115,15
80,278
187,175
119,17
218,223
192,162
206,239
1,45
221,243
227,188
128,172
113,29
191,135
189,134
82,212
274,201
98,87
73,220
213,205
78,216
64,214
206,280
217,223
105,123
202,266
106,294
187,143
170,156
75,254
79,83
150,155
138,83
88,273
135,91
208,274
151,143
65,256
139,87
174,146
185,173
65,225
101,144
198,245
69,223
81,153
231,208
69,244
192,159
210,268
71,224
68,223
131,151
266,189
192,144
190,162
178,169
193,167
192,160
189,153
117,15
79,190
219,199
227,187
71,152
97,128
89,63
137,146
78,258
60,217
58,220
99,110
0,47
141,84
240,145
49,97
112,35
65,255
191,155
178,171
49,74
86,278
236,196
190,121
203,101
62,212
75,265
247,210
195,178
96,104
76,271
101,132
82,265
186,205
198,176
61,247
196,279
110,172
59,240
80,128
143,104
94,140
73,219
160,152
266,187
108,92
210,267
134,114
81,268
109,105
192,111
104,119
59,219
63,250
243,213
265,190
64,229
197,274
83,132
54,225
92,64
64,254
68,205
151,139
138,78
194,173
186,172
61,223
88,192
205,281
146,115
231,180
191,148
54,227
171,145
102,188
118,166
249,196
93,159
89,138
117,152
228,200
97,204
191,141
85,264
118,167
44,74
147,124
2,46
77,262
1,46
224,194
50,121
229,199
89,69
109,112
267,188
271,204
70,221
174,161
231,179
109,11
57,224
76,255
80,138
190,158
242,146
79,275
55,232
273,201
188,143
65,238
0,45
81,130
64,233
203,261
264,199
192,164
209,271
75,256
251,169
267,205
100,56
210,269
138,88
75,261
84,79
217,254
175,147
102,129
98,200
209,270
72,150
126,172
138,149
225,236
154,114
44,96
136,75
219,248
231,197
193,119
193,171
89,194
142,78
145,70
147,91
55,131
208,275
81,120
185,172
76,140
127,142
94,88
63,221
94,160
140,159
109,154
79,127
81,267
99,135
167,153
77,142
201,290
95,147
97,163
266,188
68,244
223,198
183,198
184,173
61,213
196,179
265,192
81,128
65,247
205,102
68,64
191,152
192,141
67,243
248,210
113,298
194,277
115,142
214,259
262,207
199,275
245,212
191,178
63,231
194,175
212,263
88,72
160,148
196,283
223,193
59,242
191,156
111,27
187,205
191,147
190,210
49,123
89,273
93,90
54,230
60,219
225,190
127,298
136,70
248,211
225,191
222,242
85,279
251,208
97,134
136,167
233,197
98,130
139,83
229,196
223,201
99,107
207,243
172,148
204,278
78,214
68,198
96,31
83,211
167,128
189,137
263,205
266,208
192,126
75,258
108,168
87,278
213,212
157,121
170,169
223,194
265,205
161,155
206,281
84,132
89,269
191,164
78,191
209,269
83,266
78,265
59,216
127,82
153,115
219,227
83,269
257,196
64,220
220,228
126,43
266,209
103,127
221,230
66,258
72,144
144,113
194,287
269,158
263,197
75,218
63,251
138,82
267,192
151,105
194,109
97,23
66,224
82,263
44,72
190,163
89,272
77,171
268,205
123,144
189,151
178,176
204,235
66,238
85,79
149,114
207,244
69,209
82,211
86,199
202,104
310,126
228,187
154,131
186,174
58,219
167,149
251,210
133,70
195,277
135,53
56,222
246,213
95,86
123,145
162,145
117,18
274,204
78,88
102,101
158,125
192,81
65,227
193,169
124,174
250,212
201,288
81,188
107,121
193,288
139,79
82,185
208,118
195,172
91,65
107,14
145,114
120,24
189,156
195,276
108,98
210,121
191,153
268,185
156,127
212,264
129,200
76,148
197,273
181,172
64,226
195,181
192,155
64,236
106,110
88,276
52,124
87,276
175,163
57,221
65,206
69,64
129,142
261,188
195,284
88,141
63,227
267,157
76,217
262,208
109,114
272,193
64,253
213,206
77,260
271,203
154,153
213,203
65,257
81,265
67,210
269,205
138,86
163,177
271,160
69,247
193,289
262,182
61,245
75,259
189,143
193,166
91,169
98,27
71,220
77,139
99,53
191,169
192,124
85,83
165,148
228,196
227,195
189,176
82,137
194,284
193,165
113,202
72,250
75,257
84,192
71,221
112,112
64,67
193,172
45,122
110,12
170,171
234,197
91,148
157,125
217,252
133,107
97,207
140,174
129,161
123,146
146,97
82,275
56,225
81,139
249,197
143,156
97,129
46,97
75,157
74,218
243,164
172,115
156,129
270,205
206,113
191,150
94,129
72,220
135,67
203,286
90,205
190,174
205,284
138,151
75,139
267,207
87,69
191,151
114,32
191,142
94,156
117,163
89,267
213,260
144,76
192,140
206,256
141,89
103,120
204,285
56,224
226,195
165,198
113,162
91,93
105,157
202,264
142,200
191,136
202,287
203,262
78,134
168,154
205,280
175,171
83,268
194,283
87,207
138,108
257,152
312,124
216,221
75,213
252,172
103,97
54,130
88,267
267,195
118,155
63,229
206,253
263,184
206,283
160,153
89,268
294,136
89,266
57,134
208,246
213,213
190,165
189,149
66,220
95,89
98,29
94,89
140,94
213,204
258,174
207,278
218,248
260,191
205,110
96,134
83,267
136,91
213,210
79,147
144,72
130,200
106,28
194,279
80,275
77,191
95,87
77,267
214,218
185,171
217,253
71,210
245,210
269,206
88,272
194,285
79,263
261,210
191,149
80,83
80,106
191,132
63,210
85,265
187,173
75,270
69,222
48,120
97,140
141,95
140,54
140,201
190,161
191,145
139,56
73,142
225,195
247,196
67,224
251,209
54,233
223,32
121,32
264,191
75,255
78,190
66,246
60,224
192,165
196,276
265,191
132,298
268,184
73,177
154,130
114,175
72,145
61,216
195,281
181,197
104,62
88,275
110,39
79,122
272,202
87,277
266,186
190,177
74,142
191,140
275,165
242,197
152,156
73,150
179,171
268,159
80,214
106,119
267,194
112,184
86,208
115,143
100,134
178,196
202,265
183,172
268,187
205,121
192,179
203,238
63,214
233,175
136,111
89,271
217,222
196,253
184,200
104,30
214,216
76,194
89,270
176,152
226,193
131,96
192,166
192,119
47,87
262,174
173,145
272,203
194,112
89,70
132,97
89,184
302,154
108,99
266,190
79,93
105,155
190,119
84,266
127,147
228,197
110,13
75,201
165,175
192,158
194,180
93,177
145,88
98,140
85,261
